gender,file_id,wer,cer,der,ref,hyp
male,m03010204401,0.4545,0.1683,0.0909,izvještaj pomorskoga meteorološkog centra split državnog hidrometeorološkog zavoda od devetnaest sati,izveštaj pomorskog a meteorološkog centra split državnog hidrometeorološkog zavoda od 19:00
male,m03010204402,0.3125,0.114,0.0625,stanje prostrano anticiklonalno polje zadržava se nad jadranom vremenska prognoza za jadran za prvih dvanaest sati,stanje prostrano anticiklona napolje zadržava senadi jadranom vremenska prognoza za jadran za prvih 12 sati
male,m03010204403,0.0769,0.1013,0,na sjevernom jadranu gotovo tiho drugdje uz obalu bura šest do dvanaest čvorova,na sjevernom jadranu gotovo tiho drugdje uz obalu bura šest do 12 čvorova
male,m03010204404,0.3636,0.2881,0.2727,more jedan do dva na otvorenom južnog i dijelu srednjeg tri,1:59 na otvorenom južnog i dijelu srednjeg tri
male,m03010204405,0.6364,0.3196,0.0909,vidljivost petnaest do dvadeset pet kilometara promjenjivo oblačno ujutro djelomice razvedravanje,vidljivost 15 do 25 km promjenjive oblačno ujutro dijelo mice razvedravanje
male,m03010204406,0.1667,0.1778,0,vremenska prognoza za sljedećih dvanaest sati,vremenska prognoza za sljedećih 12 sati
male,m03010204407,0.2143,0.0568,0.0714,promjenjivo oblačno sa sunčanim razdobljima bura uz obalu će oslabiti i okrenuti na slab,promenljivo oblačno sa sunčanim razdobljima bura uz obalu će oslabiti okrenuti da slab
male,m03010204408,0.3333,0.0727,0,na otvorenom moru umjeren sjeverozapadni vjetar more malo na otvorenom ponegdje umjereno valovito malo toplije,na otvorenom moru umirem sjevernoj zapadni vjetar more malo na otvorenom po nigdje umjereno valovito malo toplije
male,m03010204409,0.4444,0.2154,0,na otvorenome moru sjeverozapadni vjetar osam do šesnaest čvorova,na otvorenom moru severozapadni vjetar 8 do 16 čvorova
male,m03020103201,0,0,0,vremensko izvješće dunja drvar,vremensko izvješće dunja drvar
